[2026-06-07T02:41:42.104070+00:00] USER=SYSTEM | ACTION=TELEMETRY_STREAM_TERMINATED | STATUS=SUCCESS | DETAILS=Telemetry stream safely disconnected for Anonymous_Node due to simulation stop.
[2026-06-07T02:41:45.290158+00:00] USER=SYSTEM | ACTION=TELEMETRY_STREAM_TERMINATED | STATUS=SUCCESS | DETAILS=Telemetry stream safely disconnected for Anonymous_Node due to simulation stop.
[2026-06-07T02:41:48.511046+00:00] USER=SYSTEM | ACTION=TELEMETRY_STREAM_TERMINATED | STATUS=SUCCESS | DETAILS=Telemetry stream safely disconnected for Anonymous_Node due to simulation stop.
[2026-06-07T02:41:48.698825+00:00] USER=admin | ACTION=USER_LOGIN | STATUS=SUCCESS | DETAILS=Authenticated successfully with role: admin
[2026-06-07T02:41:49.187922+00:00] USER=SYSTEM | ACTION=TELEMETRY_STREAM_TERMINATED | STATUS=SUCCESS | DETAILS=Telemetry stream safely disconnected for Anonymous_Node due to simulation stop.
[2026-06-07T02:41:51.801998+00:00] USER=SYSTEM | ACTION=TELEMETRY_STREAM_TERMINATED | STATUS=SUCCESS | DETAILS=Telemetry stream safely disconnected for Anonymous_Node due to simulation stop.
[2026-06-07T02:41:52.450569+00:00] USER=SYSTEM | ACTION=TELEMETRY_STREAM_TERMINATED | STATUS=SUCCESS | DETAILS=Telemetry stream safely disconnected for Anonymous_Node due to simulation stop.
[2026-06-07T02:41:55.225311+00:00] USER=SYSTEM | ACTION=TELEMETRY_STREAM_TERMINATED | STATUS=SUCCESS | DETAILS=Telemetry stream safely disconnected for Anonymous_Node due to simulation stop.
[2026-06-07T02:41:58.728903+00:00] USER=SYSTEM | ACTION=TELEMETRY_STREAM_TERMINATED | STATUS=SUCCESS | DETAILS=Telemetry stream safely disconnected for Anonymous_Node due to simulation stop.
[2026-06-07T02:42:01.985862+00:00] USER=SYSTEM | ACTION=TELEMETRY_STREAM_TERMINATED | STATUS=SUCCESS | DETAILS=Telemetry stream safely disconnected for Anonymous_Node due to simulation stop.
[2026-06-07T02:42:13.716501+00:00] USER=new_6 | ACTION=USER_LOGOUT | STATUS=SUCCESS | DETAILS=User session explicitly terminated.
[2026-06-07T03:01:39.208976+00:00] USER=SYSTEM | ACTION=TELEMETRY_STREAM_TERMINATED | STATUS=SUCCESS | DETAILS=Telemetry stream safely disconnected for Anonymous_Node due to simulation stop.
[2026-06-07T03:01:43.223537+00:00] USER=SYSTEM | ACTION=TELEMETRY_STREAM_TERMINATED | STATUS=SUCCESS | DETAILS=Telemetry stream safely disconnected for Anonymous_Node due to simulation stop.
[2026-06-07T03:01:47.186550+00:00] USER=SYSTEM | ACTION=TELEMETRY_STREAM_TERMINATED | STATUS=SUCCESS | DETAILS=Telemetry stream safely disconnected for Anonymous_Node due to simulation stop.
[2026-06-07T03:01:51.186566+00:00] USER=SYSTEM | ACTION=TELEMETRY_STREAM_TERMINATED | STATUS=SUCCESS | DETAILS=Telemetry stream safely disconnected for Anonymous_Node due to simulation stop.
[2026-06-07T03:01:55.200925+00:00] USER=SYSTEM | ACTION=TELEMETRY_STREAM_TERMINATED | STATUS=SUCCESS | DETAILS=Telemetry stream safely disconnected for Anonymous_Node due to simulation stop.
[2026-06-07T03:01:59.191471+00:00] USER=SYSTEM | ACTION=TELEMETRY_STREAM_TERMINATED | STATUS=SUCCESS | DETAILS=Telemetry stream safely disconnected for Anonymous_Node due to simulation stop.
[2026-06-07T03:02:03.193306+00:00] USER=SYSTEM | ACTION=TELEMETRY_STREAM_TERMINATED | STATUS=SUCCESS | DETAILS=Telemetry stream safely disconnected for Anonymous_Node due to simulation stop.
[2026-06-07T03:02:07.202927+00:00] USER=SYSTEM | ACTION=TELEMETRY_STREAM_TERMINATED | STATUS=SUCCESS | DETAILS=Telemetry stream safely disconnected for Anonymous_Node due to simulation stop.
[2026-06-07T03:02:11.193463+00:00] USER=SYSTEM | ACTION=TELEMETRY_STREAM_TERMINATED | STATUS=SUCCESS | DETAILS=Telemetry stream safely disconnected for Anonymous_Node due to simulation stop.
